SE_ID,CTFCN_NM,HS_CODE,NTN_NM,CTFCN_TY_NM,TRGT_PDLT_CN,CTFCN_ISTN_RLT_INFO,NECE_PAPERS_CN,RQRM_PD_INFO,CTFCN_CT_INFO,CTFCN_DTL_INFO,RLT_LANRG_INFO,CTFCN_PRCD_INFO,INDC_ERA_INFO,VLD_PD_INFO
F01_Y2023_R00392,B-Mark,802,폴란드,임의,1 500 볼트의 직류와 1 000 볼트의 교류를 초과하지 않는 정격 전압에 사용하는 전자기장 및 전기의 측정  전송  생성의 기기뿐만 아니라 전류나 전자기장에 따른 전기 기기나 또는 전자식 기기     상세품목정보,,-신청서(PCBC 양식) -신규 신청자의 경우 인증 동의서(Agreement on certification) FB 42(영어) / FB 43(폴란드어) -Safety 시험 성적서 (PCBC와의 협정체결에 의한 시험소의 시험성적서 외  유효한 CB나 CCA 승인서의 시험성적서  MLA 인가 기관이 인가한 시험실에서 수행한 시험성적서  PCA가 인가한 실험실에서 승인한 성적서) -EMC 성적서  -제품 설명서  제품 자료 - 사용자 매뉴얼 -제조자 질의서 - 공장심사 레포트,,150달러,- B-mark는 과거 폴란드의 강제인증제도였으나 2004년 폴란드의 EU가입에 따라 자율인증으로 전환되었다. - 폴란드는 강제인증제도로 EU의 CE마킹을 적용하고 있다. - 현재의 PCBC는 폴란드내의 인증기관중 하나로서의 기능을 유지하고 있으며 현재 폴란드에서 B-Mark를 받으면 폴란드 시장의 진출에 다소 도움이 될 수 있으나  강제 또는 의무사항은 아니다.,"? 적용기술&규격적용 				- 인증서 소유자는 수입업자나 유통업자 뿐 아니라 권한을 부여받은 대리인이나 제조자가 될 수 있다.  - 기술기준: 적용규격으로는 시험에 사용되는 PN(Polski Normy)규격이 있었으며  IEC 규격  EN(유럽규격)규격 등이 주로 사용되고 있다.  - 신청:가. 신청신청자는 아래의 서류를 인증신청 시 제출함. (우편  이메일 가능)    - 신청서(PCBC 양식)    - 신규신청자의 경우 인증동의서(Agreement on certification) FB 42(English) / FB 43 (Polish)    - Safety 시험성적서     - EMC 성적서     (ILAC-MRLA 멤버로부터 발행된 TR 또는 PCBC의 협력기관의 성적서)     - 제품 설명서 또는 기술문서(회로도  구조도  부품리스트 등의 제품정보 포함)     - 사용자 매뉴얼(Polish)    - 제조자 질의서 FB 03 또는 CIG 022B    - 공장심사 레포트 FB 64 또는 CIG 023   성적서 인정요건 PCBC와의 협정체결에 의한 시험소의 시험성적서 뿐만 아니라  유효한 CB나 CCA 승인서의 시험성적서  MLA 인가 기관이 인가한 시험실에서 수행한 시험성적서  PCA가 인가한 실험실에서 승인한 성적서가 인정됨. 다. 공장심사인증서의 발급 조건으로 제품 시험 이외에 공장심사가 요구되며  이는 CENELEC의 요구사항과 동등함. 공장심사는 해외제조자의 경우 해외 협력기관에서 수행하며  한국의 경우 한국산업기술시험원(KTL)에서 수행이 가능함. 검사의 목적은 생산 공정  품질 관리 및 품질 보장 조직이 안정된 생산 수준을 유지하는지 여부와 그리고 정기적인 시험을 수행하는지 여부를 확인하고자 함. 라. 인증발급제품시험성적서와 공장심사레포트 및 기타 관련사항들의 적합성이 인정될 경우  PCBC는 인증서를 발급하여 우편으로 신청자에게 발송함.  ? 법규/처벌 				- 폴란드는 CE마크 제도를 따르므로  인증절차는 CE마크제도와 동일함- 발행된 모든 인증서는 소지인 변경과 상관없이 효력을 유지함- 사전 예비공장심사가 요구되어지고 그 요구사항은 CENELEC의 요구사항과 동일함- Komitut Odwolawcy przy Radzie c/s Bada? i Certyfikacji (시험·증명종합고충위원회)에 시험 불합격 결정에 대한 불만을 제기할 수 있음- 폴란드 B마크는 필수 CE마크에 추가 적용할 수 있음. B마크의 EMC 요구사항은 EMC 디렉티브에 맞게 조정되었음- Rated voltage in Poland is AC 230V/50Hz (conversion from former 220V in progress) - Polish Center for Accreditation (PCA : 폴란드인정센터)의 역할 :인증기관의 인가   검사기관의 인가   시험실(Laboratories)의 인가  C29인가된 기관 및 시험실 감독   인가된 기관 및 시험실 리스트 관리- 국제인증제도가입 : CENELEC  ECISS  EA  IAF  IECEx  IQNet  ISO  ITU  IEC  ETSI  UNECE  ASTM International  WTO/TBT  ? 특이사항",,,3년
F01_Y2023_R00393,NOP(유기농),802,미국,의무,과일  곡물  유제품  가금류의 고기     상세품목정보,USDA(U.S Department of Agriculture) (http://www.ams.usda.gov/services/organic-certification),,6주~10주,,- NOP인증은 강제 인증으로서 미국에서 판매되는 유기농 농산물은 반드시 NOP 규격에 적합하여야 하며  인증서 신청접수 및 발행은 미국농무부(USDA) 지정 인증기관에서 수행함. - 유기농 식품이란 유기농 방식으로 인정되는 재배 및 생물적  기계적 생산 방식에 따라 생산된 식품 또는 농산물을 의미하며  합성 화학 비료  하수 슬러지(오니). 방사선  유전 공학 등은 사용불가함. - NOP 유기제품 인증은 자원의 순환을 촉진하고  생태학적 균형을 장려하며  생물학적 다양성을 보존하는 문화적  생물학적  기계적 관행을 통합함으로써 지역별 여건에 대응할 수 있도록 1990년도 유기식품생산법 (OFPA) (PDF) 및 연방규정집 제205부 제7조 규정에 따라 관리되는 시스템임. 미국 유기제품 인증 프로그램 (NOP)을 통해 전국적인 생산  취급과 라벨링에 관한 표준을 개발  이행  감독하고 있음. - 유기농 제품을 재배하고 다루거나 처리하는 모든 농장 및 사업자는 반드시 NOP 인증을 받아야 하며  이외에도 유기농 제품이라고 나타내고자 하는 모든 제품에 대해서는 인증을 받아야 함.,"? 적용기술&규격적용 				Organic foods production Act(1990)  ? 법규/처벌 				?  ? 특이사항",,,5년
F01_Y2023_R00394,ISI,802,인도,의무,전기전자제품 [총 16개 품목](첨부파일 참조)1. Residual current operated circuit breakers for household and similar uses - Part 1 Circuit breakers without integral overcurrent protection (RCCBs)2. Residual current operated circuit breakers for household and similar uses - Part 2 Circuit breakers with integral overcurrent protection (RCVOs) 3. AC watt-hour meters  class 0.5  1 & 2 4. AC static watt-hour meters  class 1 & 2 5. AC static transformer operated watt-hour and VAR- hour meters  class 0.2S & 0.5S6. Self ballasted lamps for general lighting services Part 1 Safety requirements and Part 2 Performance requirement7. Safety of household and similar electrical appliances - Electric iron 8. Safety of household and similar electrical appliances - Electric immersion water heaters9. Safety of household and similar electrical appliances - Electric stoves10. Safety of household and similar electrical appliances- Room heaters 11. Switches for domestic and similar purposes12. Tungsten filament general service electric lamps (up to 100 W)13. PVC insulated cables for working voltages up to and including 1100 V14. Multipurpose dry batteries 15. Electrical accessories - Circuit breakers for over current protection for household and similar installations16. Elastomer insulated cables (Pt.1): For working voltages up to and including 1100 V     상세품목정보,Bureau of Indian Standards(BIS) - Address: BIS  9  Bahadur Shah Zafar Marg  New Delhi  Delhi 110002  India - https://bis.gov.in - TEL: +91 120 4670227/232 - E-mail: cmd1@bis.gov.in / cmd2@bis.gov.in / cmd3@bis.gov.in,,,,- ISI 인증은 자기인증기반의 임의 인증 제도로서 ISO Guide 28(제품의 제 3자 인증시스템 모델 일반규칙)에 근거하고 있으며  요건은 ISO Guide 65(시스템을 운영하는 기관을 위한 일반 요구사항)과 일치함. - 인도의 국가 표준 기관 (National Standard Body)인 BIS (Bureau of Indian Standards)에서 지정한 90개(전기전자 제품은 16개 품목)의 강제대상품목은 인도로 수출시 강제적으로 제품 인증을 받아야 하며  ISI마크를 부착한 제품만 인도 시장에서 판매 가능함. - 국내 제조자  해외 제조자  수입자가 각 주체별로 인증을 취득할 수 있는 절차와 요건을 제시하고 있음 - 인증은 제조공장별  BIS규격별로 주어지며 제품시험  공장심사  수시검사  공장 및 시장에서 샘플링을 통한 정기 사후관리로 구성됨 - 제조자가 제품 시험설비와 시험 인력을 갖추었을 경우 제조자의 적합성결과를 인정하며 또한 지정 시험소를 통해 인정 받을 수 있음,"? 적용기술&규격적용 				- Bureau of Indian Standards Act 1986- BIS (Certification) Regulations 1988- Electrical Wires  Cables  Appliances and Protection Devices and Accessories (Quality Control) Order 2003- Essential Commodities Act 1955- Indian Explosive Act 1884- Environment (Protection) Act 1986  ? 법규/처벌 				- 마크를 위조한 경우 BIS에 의해 인증은 중지되거나 취소될 수 있음- BIS Act 1986의 33(1)에 의거하여 조항 Section 11  12  14  15에 위반할 경우 최대 1년까지 구금될 수 있으며  최대 50 000 루피(약 90만원)의 벌금을 납부해야 함  ? 특이사항",1) BIS에서 규정한 Form V 양식을 작성하여 BIS에서 명시한 기타 제출 서류(FM LIST) 일체를 BIS로 제출   해외제조자의 경우  별도 FMCS(Foreign Manufacturers Certification Scheme)이 존재하며  신청서를 원본으로 BIS 직접 제출해야 함   해외제조자는 반드시 인도 책임자(Authorized Indian Representative; AIR)을 지명하여 모든 신청서류에 AIR담당자 직인이 필요함 2) BIS에서 서류심사(Working day 30일 정도소요) 3) BIS에서 공장심사를 위한 심사관 지명 (일반적으로 1인  2일 심사) 4) 심사관의 공장심사  샘플검사 및 샘플링실시 5) BIS지정 시험소로 샘플발송 및 시험진행 6) 인증동의서 서명 및 연회비 지불 7) 인증발행,,
F01_Y2023_R00395,Union Technique de l' Electricite (프랑스전기기술협회),803,프랑스,임의,1) 전기전자제품2) 전기설비3) 통신기기 장비4) 의료용 재료5) 전자부품6) 환경제품7) 식품8) 농산물9) 생명공학제품     상세품목정보,UTE (www.ute-fr.com),,,,,"? 적용기술&규격적용 				1. 승인전 공장심사- NF 마크 부착제품 또는 부품을 처음으로 제조하는 공장은 UTE에 의한 공장증명을 얻지 않으면 안됨 - 2회째부터의 신청(단  동일 공장의 경우)은 제품 또는 부품만 신청하면 됨2. 형식시험(LCIE에 있어서 시험)- 요구된 샘플과 자료가 모두 준비  시험에 순번이 돌아오면 시험이 개시됨. - 시험은 LCIE에서 실시- 시험에 합격하면 라이선스가 발행되지만 불합격의 경우는 불합리한 곳의 대책을 세우면서 합격할 때까지 반복해서 시험을 하든지  신청자 측으로부터 취하의뢰를 할 때까지 신청상태가 계속됨- 시험보고서 : 시험결과가 합격인 경우에도  불합격인 경우에도  시험보고서는 작성되어 신청자에게 송부됨. 불합격인 경우는 불합격의 항목이 알 수 있도록 표시되어 있음  -기술기준: NF 규격에 준함 -신청자격:  UTE에서 프랑스 임의인증(NF) 신청 시  ? 법규/처벌 				?  ? 특이사항",,,
F01_Y2023_R00396,NF 인증 (Association Francaise de Normalisation (프랑스규격협회)),803,프랑스,임의,1) 전기전자제품2) 전기설비3) 통신기기 장비4) 의료용 재료5) 전자부품6) 환경제품7) 식품8) 농산물9) 생명공학제품     상세품목정보,- Association Francaise de Normalisation (AFNOR : www.afnor.fr) - AFAQ AFNOR Certification (www.marque-nf.com) - UTE (Union Technique de L'Electricite : www.ute-fr.com),,,,- 프랑스 내에서만 유용하며  프랑스에 수출을 위해 강제적으로취득해야 하는 인증제도는 없음. - 프랑스에서도 유럽전역에 효력을 발휘하는 CE가 적용되나  프랑스가 독자적으로 시행하는 강제인증은 없음. 반면 강제성이 없는 자율인증인 NF마크가 품질보증제도로 시행되고 있음  - NF Mark : 1) 프랑스 국내에서만 효력을 발휘하는 인증제도로  프랑스에 수출하기 위해 동 인증을 취득하는 것이 강제이지는 않으나  프랑스 국내에 유통 중인 거의 전 품목이 NF마크를 획득하고 있음. 2) 이는 프랑스 소비자들이 제품 선택 시 NF인증 제품을 선호하기 때문임 3) 공산품을 비롯해서 농산물에 이르기까지 다양한 품목에 대해 취득이 가능함.  - NF Mark 종류 : 1) NF : 일반 공산품에 부여하는 마크 2) NF Environment : 환경  생명공학 제품에 부여하는 마크 3) NF Agro-alimentaire : 농산물 및 식품에 부여하는 마크 4) NF Service : 서비스 상품에 부여하는 마크,"? 적용기술&규격적용 				 1. 승인전 공장심사- NF 마크 부착제품 또는 부품을 처음으로 제조하는 공장은 UTE에 의한 공장증명을 얻지 않으면 안됨 - 2회째부터의 신청(단  동일 공장의 경우)은 제품 또는 부품만 신청하면 됨2. 형식시험(LCIE에 있어서 시험)- 요구된 샘플과 자료가 모두 준비  시험에 순번이 돌아오면 시험이 개시됨. - 시험은 LCIE에서 실시- 시험에 합격하면 라이선스가 발행되지만 불합격의 경우는 불합리한 곳의 대책을 세우면서 합격할 때까지 반복해서 시험을 하든지  신청자 측으로부터 취하의뢰를 할 때까지 신청상태가 계속됨- 시험보고서 : 시험결과가 합격인 경우에도  불합격인 경우에도  시험보고서는 작성되어 신청자에게 송부됨. 불합격인 경우는 불합격의 항목이 알 수 있도록 표시되어 있음- 기술기준: NF  CEN 규격에 준함  ? 법규/처벌 				해당사항없음  ? 특이사항",,,
F01_Y2023_R00397,LCIE 인증 (Laboratoire Central des Industries Electriques (프랑스전기공업중앙시험소)),803,프랑스,임의,1) 전기전자제품2) 전기설비3) 통신기기 장비4) 의료용 재료5) 전자부품6) 환경제품7) 식품8) 농산물9) 생명공학제품     상세품목정보,LCIE (www.lcie.com),,,,- LCIE는 인증제도가 아니라  100년 이상의 역사를 갖는 프랑스 최대의 프랑스전기공업중앙시험소임 - NF마크 사용 허가를 취득하기 위해서는 UTE로 신청하여야 하며  UTE는 거의 모든 시험을 LCIE로 위탁하고 있음 -그리고  LCIE는 UTE의 위탁을 근거로 시험을 실시하고 있으며  또한 LCIE는 독자적으로 시험만을 도급업무로 실시하고 있음 - 유럽 인증 및 시험 서비스 가능함(CE  CECC  ENEC  HAR  keymark 등) - 타국가 인증 및 시험 서비스 가능함(CCC  UL  FCC  SA  GS  Nordic Mark 등),"? 적용기술&규격적용 				 1. 승인전 공장심사- NF 마크 부착제품 또는 부품을 처음으로 제조하는 공장은 UTE에 의한 공장증명을 얻지 않으면 안됨 - 2회째부터의 신청(단  동일 공장의 경우)은 제품 또는 부품만 신청하면 됨2. 형식시험(LCIE에 있어서 시험)- 요구된 샘플과 자료가 모두 준비  시험에 순번이 돌아오면 시험이 개시됨. - 시험은 LCIE에서 실시- 시험에 합격하면 라이선스가 발행되지만 불합격의 경우는 불합리한 곳의 대책을 세우면서 합격할 때까지 반복해서 시험을 하든지  신청자 측으로부터 취하의뢰를 할 때까지 신청상태가 계속됨- 시험보고서 : 시험결과가 합격인 경우에도  불합격인 경우에도  시험보고서는 작성되어 신청자에게 송부됨. 불합격인 경우는 불합격의 항목이 알 수 있도록 표시되어 있음  - 기술기준: NF  UTE 규격에 준함 - 신청자격: LCIE에서 프랑스 임의인증(NF) 신청 시  ? 법규/처벌 				?  ? 특이사항",,,
F01_Y2023_R00398,IMQ,803,이탈리아,임의,CE 제품과 거의 동일함1) 조명기구 & 부속품2) 전기전자제품 & 부품3) 의료기기4) 미용기기5) 보안장치6) 가정용 기기7) 엘리베이터 & 리프트8) 케이블 & 코드9) 전력계10) 저전압기기 & 보호장치     상세품목정보,IMQ(www.imq.it),,,,,"? 적용기술&규격적용 				- 기술기준: CEI(Comitatio Electtrotecnico Italiano) 규격에 준함 1.  제조 공장 심사 : -  공장에서의 요원과 설비는 제품의 품질보증과 품질관리에 관하여 적합여부 판단-  IMQ 마크부탁의 제품 또는 부품을 처음 제조하는 공장은  IMQ의 승인을 얻어야만 함-  2회째부터의 신청(단  동일공장의 경우)은 제품 또는 부품만 신청을 하면 됨2. 제품 시험- IMQ에 단독으로 신청하고 인증을 취득할 경우와 CCA협회 및 CB제도에 근거하여 타 기관에 의해 이미 인증 되어진 것을 신청해 인증을 취득할 경우가 있음- 요구된 샘플과 자료가 모두 갖추어지고  시험의 순서가 오면 시험 개시 - 시험에 합격하면 라이센스가 발행되어지지만  부합격의 경우는 불합격한 곳이 어딘가를 대책 하면서 합격할 때까지 반복해서 시험하든지 또는 신청자 측에서 신청 취하를 의뢰를 할 때까지  신청상태는 계속되어짐3. 라이센스 발행 : 첫 회 신청의 경우는 시험이 합격하더라도 공장이 승인되어지기 전까지는 제품 또는 부품에 대한 라이센스는 발행되어지지 않음  ? 법규/처벌 				유럽 인증 서비스 협정 (전기 제품)1) CCA (CENELEC 인증 협약)2) ENEC3) HAR- 유럽 Harmonized 서비스 협정 (전자 부품)1) CECC- 국제 위원회인 IEC 인증 서비스 협정1) IECQ- 보일러·압력용기에 관한 안전기준 : 1) 1927년의 법령(Royal Decree 12.5  No.824) 및 1972년의 법령 Ministerial Decree 21.11.1972에 따라 관리되어지고 있음. 2) 설계기준으로서는 ANCC코드가 적용되어짐. 3) 심사기관:  Istituto Superiore per la Prevensione e la Sicurezza del Lavoro(ISPESL)  ISPESL : Higher Institue for Accident Prevention and Safety at Work  ? 특이사항",신청은 이탈리아에서 직접 실행하는것이 가능. 처음 신청하는 경우 IMQ 마크 부착의 제품이나 부품을 처음 제조하는 공장은 IMQ의 승인을 얻어야 함. 2회차부터는 제품 또는 부품만 신청하면 됨.  1. 신청의뢰 2. IMQ에서의 시험 3. 시험보고서 송부 4. 라이선스 발행 5. 출하,,
F01_Y2023_R00399,B-Mark,803,폴란드,임의,1 500 볼트의 직류와 1 000 볼트의 교류를 초과하지 않는 정격 전압에 사용하는 전자기장 및 전기의 측정  전송  생성의 기기뿐만 아니라 전류나 전자기장에 따른 전기 기기나 또는 전자식 기기     상세품목정보,,-신청서(PCBC 양식) -신규 신청자의 경우 인증 동의서(Agreement on certification) FB 42(영어) / FB 43(폴란드어) -Safety 시험 성적서 (PCBC와의 협정체결에 의한 시험소의 시험성적서 외  유효한 CB나 CCA 승인서의 시험성적서  MLA 인가 기관이 인가한 시험실에서 수행한 시험성적서  PCA가 인가한 실험실에서 승인한 성적서) -EMC 성적서  -제품 설명서  제품 자료 - 사용자 매뉴얼 -제조자 질의서 - 공장심사 레포트,,150달러,- B-mark는 과거 폴란드의 강제인증제도였으나 2004년 폴란드의 EU가입에 따라 자율인증으로 전환되었다. - 폴란드는 강제인증제도로 EU의 CE마킹을 적용하고 있다. - 현재의 PCBC는 폴란드내의 인증기관중 하나로서의 기능을 유지하고 있으며 현재 폴란드에서 B-Mark를 받으면 폴란드 시장의 진출에 다소 도움이 될 수 있으나  강제 또는 의무사항은 아니다.,"? 적용기술&규격적용 				- 인증서 소유자는 수입업자나 유통업자 뿐 아니라 권한을 부여받은 대리인이나 제조자가 될 수 있다.  - 기술기준: 적용규격으로는 시험에 사용되는 PN(Polski Normy)규격이 있었으며  IEC 규격  EN(유럽규격)규격 등이 주로 사용되고 있다.  - 신청:가. 신청신청자는 아래의 서류를 인증신청 시 제출함. (우편  이메일 가능)    - 신청서(PCBC 양식)    - 신규신청자의 경우 인증동의서(Agreement on certification) FB 42(English) / FB 43 (Polish)    - Safety 시험성적서     - EMC 성적서     (ILAC-MRLA 멤버로부터 발행된 TR 또는 PCBC의 협력기관의 성적서)     - 제품 설명서 또는 기술문서(회로도  구조도  부품리스트 등의 제품정보 포함)     - 사용자 매뉴얼(Polish)    - 제조자 질의서 FB 03 또는 CIG 022B    - 공장심사 레포트 FB 64 또는 CIG 023   성적서 인정요건 PCBC와의 협정체결에 의한 시험소의 시험성적서 뿐만 아니라  유효한 CB나 CCA 승인서의 시험성적서  MLA 인가 기관이 인가한 시험실에서 수행한 시험성적서  PCA가 인가한 실험실에서 승인한 성적서가 인정됨. 다. 공장심사인증서의 발급 조건으로 제품 시험 이외에 공장심사가 요구되며  이는 CENELEC의 요구사항과 동등함. 공장심사는 해외제조자의 경우 해외 협력기관에서 수행하며  한국의 경우 한국산업기술시험원(KTL)에서 수행이 가능함. 검사의 목적은 생산 공정  품질 관리 및 품질 보장 조직이 안정된 생산 수준을 유지하는지 여부와 그리고 정기적인 시험을 수행하는지 여부를 확인하고자 함. 라. 인증발급제품시험성적서와 공장심사레포트 및 기타 관련사항들의 적합성이 인정될 경우  PCBC는 인증서를 발급하여 우편으로 신청자에게 발송함.  ? 법규/처벌 				- 폴란드는 CE마크 제도를 따르므로  인증절차는 CE마크제도와 동일함- 발행된 모든 인증서는 소지인 변경과 상관없이 효력을 유지함- 사전 예비공장심사가 요구되어지고 그 요구사항은 CENELEC의 요구사항과 동일함- Komitut Odwolawcy przy Radzie c/s Bada? i Certyfikacji (시험·증명종합고충위원회)에 시험 불합격 결정에 대한 불만을 제기할 수 있음- 폴란드 B마크는 필수 CE마크에 추가 적용할 수 있음. B마크의 EMC 요구사항은 EMC 디렉티브에 맞게 조정되었음- Rated voltage in Poland is AC 230V/50Hz (conversion from former 220V in progress) - Polish Center for Accreditation (PCA : 폴란드인정센터)의 역할 :인증기관의 인가   검사기관의 인가   시험실(Laboratories)의 인가  C29인가된 기관 및 시험실 감독   인가된 기관 및 시험실 리스트 관리- 국제인증제도가입 : CENELEC  ECISS  EA  IAF  IECEx  IQNet  ISO  ITU  IEC  ETSI  UNECE  ASTM International  WTO/TBT  ? 특이사항",,,3년
F01_Y2023_R00400,NOP(유기농),803,,의무,과일  곡물  유제품  가금류의 고기     상세품목정보,USDA(U.S Department of Agriculture) (http://www.ams.usda.gov/services/organic-certification),,6주~10주,,- NOP인증은 강제 인증으로서 미국에서 판매되는 유기농 농산물은 반드시 NOP 규격에 적합하여야 하며  인증서 신청접수 및 발행은 미국농무부(USDA) 지정 인증기관에서 수행함. - 유기농 식품이란 유기농 방식으로 인정되는 재배 및 생물적  기계적 생산 방식에 따라 생산된 식품 또는 농산물을 의미하며  합성 화학 비료  하수 슬러지(오니). 방사선  유전 공학 등은 사용불가함. - NOP 유기제품 인증은 자원의 순환을 촉진하고  생태학적 균형을 장려하며  생물학적 다양성을 보존하는 문화적  생물학적  기계적 관행을 통합함으로써 지역별 여건에 대응할 수 있도록 1990년도 유기식품생산법 (OFPA) (PDF) 및 연방규정집 제205부 제7조 규정에 따라 관리되는 시스템임. 미국 유기제품 인증 프로그램 (NOP)을 통해 전국적인 생산  취급과 라벨링에 관한 표준을 개발  이행  감독하고 있음. - 유기농 제품을 재배하고 다루거나 처리하는 모든 농장 및 사업자는 반드시 NOP 인증을 받아야 하며  이외에도 유기농 제품이라고 나타내고자 하는 모든 제품에 대해서는 인증을 받아야 함.,"? 적용기술&규격적용 				Organic foods production Act(1990)  ? 법규/처벌 				?  ? 특이사항",,,5년
F01_Y2023_R00401,ISI,803,인도,의무,전기전자제품 [총 16개 품목](첨부파일 참조)1. Residual current operated circuit breakers for household and similar uses - Part 1 Circuit breakers without integral overcurrent protection (RCCBs)2. Residual current operated circuit breakers for household and similar uses - Part 2 Circuit breakers with integral overcurrent protection (RCVOs) 3. AC watt-hour meters  class 0.5  1 & 2 4. AC static watt-hour meters  class 1 & 2 5. AC static transformer operated watt-hour and VAR- hour meters  class 0.2S & 0.5S6. Self ballasted lamps for general lighting services Part 1 Safety requirements and Part 2 Performance requirement7. Safety of household and similar electrical appliances - Electric iron 8. Safety of household and similar electrical appliances - Electric immersion water heaters9. Safety of household and similar electrical appliances - Electric stoves10. Safety of household and similar electrical appliances- Room heaters 11. Switches for domestic and similar purposes12. Tungsten filament general service electric lamps (up to 100 W)13. PVC insulated cables for working voltages up to and including 1100 V14. Multipurpose dry batteries 15. Electrical accessories - Circuit breakers for over current protection for household and similar installations16. Elastomer insulated cables (Pt.1): For working voltages up to and including 1100 V     상세품목정보,Bureau of Indian Standards(BIS) - Address: BIS  9  Bahadur Shah Zafar Marg  New Delhi  Delhi 110002  India - https://bis.gov.in - TEL: +91 120 4670227/232 - E-mail: cmd1@bis.gov.in / cmd2@bis.gov.in / cmd3@bis.gov.in,,,,- ISI 인증은 자기인증기반의 임의 인증 제도로서 ISO Guide 28(제품의 제 3자 인증시스템 모델 일반규칙)에 근거하고 있으며  요건은 ISO Guide 65(시스템을 운영하는 기관을 위한 일반 요구사항)과 일치함. - 인도의 국가 표준 기관 (National Standard Body)인 BIS (Bureau of Indian Standards)에서 지정한 90개(전기전자 제품은 16개 품목)의 강제대상품목은 인도로 수출시 강제적으로 제품 인증을 받아야 하며  ISI마크를 부착한 제품만 인도 시장에서 판매 가능함. - 국내 제조자  해외 제조자  수입자가 각 주체별로 인증을 취득할 수 있는 절차와 요건을 제시하고 있음 - 인증은 제조공장별  BIS규격별로 주어지며 제품시험  공장심사  수시검사  공장 및 시장에서 샘플링을 통한 정기 사후관리로 구성됨 - 제조자가 제품 시험설비와 시험 인력을 갖추었을 경우 제조자의 적합성결과를 인정하며 또한 지정 시험소를 통해 인정 받을 수 있음,"? 적용기술&규격적용 				- Bureau of Indian Standards Act 1986- BIS (Certification) Regulations 1988- Electrical Wires  Cables  Appliances and Protection Devices and Accessories (Quality Control) Order 2003- Essential Commodities Act 1955- Indian Explosive Act 1884- Environment (Protection) Act 1986  ? 법규/처벌 				- 마크를 위조한 경우 BIS에 의해 인증은 중지되거나 취소될 수 있음- BIS Act 1986의 33(1)에 의거하여 조항 Section 11  12  14  15에 위반할 경우 최대 1년까지 구금될 수 있으며  최대 50 000 루피(약 90만원)의 벌금을 납부해야 함  ? 특이사항",1) BIS에서 규정한 Form V 양식을 작성하여 BIS에서 명시한 기타 제출 서류(FM LIST) 일체를 BIS로 제출   해외제조자의 경우  별도 FMCS(Foreign Manufacturers Certification Scheme)이 존재하며  신청서를 원본으로 BIS 직접 제출해야 함   해외제조자는 반드시 인도 책임자(Authorized Indian Representative; AIR)을 지명하여 모든 신청서류에 AIR담당자 직인이 필요함 2) BIS에서 서류심사(Working day 30일 정도소요) 3) BIS에서 공장심사를 위한 심사관 지명 (일반적으로 1인  2일 심사) 4) 심사관의 공장심사  샘플검사 및 샘플링실시 5) BIS지정 시험소로 샘플발송 및 시험진행 6) 인증동의서 서명 및 연회비 지불 7) 인증발행,,
F01_Y2023_R00402,Union Technique de l' Electricite (프랑스전기기술협회),804,,임의,1) 전기전자제품2) 전기설비3) 통신기기 장비4) 의료용 재료5) 전자부품6) 환경제품7) 식품8) 농산물9) 생명공학제품     상세품목정보,UTE (www.ute-fr.com),,,,,"? 적용기술&규격적용 				1. 승인전 공장심사- NF 마크 부착제품 또는 부품을 처음으로 제조하는 공장은 UTE에 의한 공장증명을 얻지 않으면 안됨 - 2회째부터의 신청(단  동일 공장의 경우)은 제품 또는 부품만 신청하면 됨2. 형식시험(LCIE에 있어서 시험)- 요구된 샘플과 자료가 모두 준비  시험에 순번이 돌아오면 시험이 개시됨. - 시험은 LCIE에서 실시- 시험에 합격하면 라이선스가 발행되지만 불합격의 경우는 불합리한 곳의 대책을 세우면서 합격할 때까지 반복해서 시험을 하든지  신청자 측으로부터 취하의뢰를 할 때까지 신청상태가 계속됨- 시험보고서 : 시험결과가 합격인 경우에도  불합격인 경우에도  시험보고서는 작성되어 신청자에게 송부됨. 불합격인 경우는 불합격의 항목이 알 수 있도록 표시되어 있음  -기술기준: NF 규격에 준함 -신청자격:  UTE에서 프랑스 임의인증(NF) 신청 시  ? 법규/처벌 				?  ? 특이사항",,,
