순위,국가명,HS코드,품목명,카테고리,2025년수출액($),2026성공확률(%),2026성공예측
28,US,2103901020,춘장,제21류_기능성/혼합음료,61203,89.86,증가
29,US,2005519000,기타,제20류_과일농축음료,24543,89.62,증가
30,US,2009902000,채소로 만든 것,제20류_과일농축음료,0,89.17,증가
31,US,2106903019,기타,제21류_기능성/혼합음료,6580,89.13,증가
32,US,2103909090,기타,제21류_기능성/혼합음료,3166137,88.47,증가
33,US,2203000000,맥주,제22류_일반음료,501088,88.4,증가
34,US,2103201000,토마토 케첩,제21류_기능성/혼합음료,1492,88.29,증가
35,US,2105009090,기타,제21류_기능성/혼합음료,47369,88.26,증가
36,US,2103901090,기타,제21류_기능성/혼합음료,251019,88.08,증가
37,US,2101209019,기타,제21류_기능성/혼합음료,0,88.03,증가
38,US,2103901030,고추장,제21류_기능성/혼합음료,1452598,88.03,증가
39,US,2005512000,팥,제20류_과일농축음료,80263,87.88,증가
40,US,2005599000,기타,제20류_과일농축음료,276,87.63,증가
41,US,2103909020,인스턴트 카레,제21류_기능성/혼합음료,53125,87.24,증가
42,US,2008193000,볶은 참깨가루,제20류_과일농축음료,0,86.37,증가
43,US,2106909091,"로열젤리, 벌꿀조제품의 것",제21류_기능성/혼합음료,0,85.62,증가
44,US,2009710000,브릭스(Brix) 값이 20 이하인 것,제20류_과일농축음료,0,85.51,증가
45,US,2106909040,자기소화효모(autolyzed yeast)와 그 밖의 효모 추출물(extract),제21류_기능성/혼합음료,37,85.18,증가
46,US,2103301000,겨자의 고운 가루ㆍ거친 가루,제21류_기능성/혼합음료,8714,84.82,증가
47,US,2008199000,기타,제20류_과일농축음료,159334,84.8,증가
48,US,2102202000,누룩,제21류_기능성/혼합음료,425,82.53,증가
49,US,2106903021,홍삼차,제21류_기능성/혼합음료,9902,82.42,증가
50,US,2103901010,된장,제21류_기능성/혼합음료,374043,81.89,증가
51,US,2009319000,기타,제20류_과일농축음료,140,81.48,증가
52,US,2006009090,기타,제20류_과일농축음료,0,81.42,증가
53,US,2106909060,도토리 가루,제21류_기능성/혼합음료,1626,80.88,증가
54,US,0406300000,가공치즈(갈았거나 가루 모양의 것은 제외한다),제04류_우유류,1957,80.01,증가
55,US,0403202000,냉동한 것,제04류_우유류,145957,79.81,증가
56,US,2102209000,기타,제21류_기능성/혼합음료,0,79.4,증가
57,US,2208301000,스카치 위스키,제22류_일반음료,15745,79.24,증가
58,US,2005991000,김치,제20류_과일농축음료,2953778,78.07,증가
59,US,0403909000,기타,제04류_우유류,3574,77.02,증가
60,US,2106109020,단백질 농축물,제21류_기능성/혼합음료,21145,76.84,증가
61,US,2106903029,기타,제21류_기능성/혼합음료,529540,76.77,증가
62,US,2202992000,과실주스 음료,제22류_일반음료,311050,75.47,증가
63,US,2106903011,인삼차,제21류_기능성/혼합음료,21950,74.99,증가
64,US,2001100000,오이류,제20류_과일농축음료,16425,74.45,증가
65,US,2103909030,혼합조미료,제21류_기능성/혼합음료,600726,74.02,증가
66,US,2101119000,기타,제21류_기능성/혼합음료,21097,73.16,증가
67,US,2202109000,기타,제22류_일반음료,213164,72.25,증가
68,US,0403201000,액체 상태인 것,제04류_우유류,0,72.17,증가
69,US,2102204010,태블릿(tablet) 모양의 것,제21류_기능성/혼합음료,13297,72.12,증가
70,US,2008979000,기타,제20류_과일농축음료,0,71.75,증가
71,US,2009790000,기타,제20류_과일농축음료,0,71.39,증가
72,US,2201100000,광천수와 탄산수,제22류_일반음료,46587,70.88,증가
73,US,2005994000,고려엉겅퀴(곤드레),제20류_과일농축음료,1137,70.62,증가
74,US,2106909099,기타,제21류_기능성/혼합음료,5344149,68.78,증가
75,US,2104101000,육류로 만든 것,제21류_기능성/혼합음료,113711,68.04,증가
76,US,2106909030,아이스크림 제조용 조제품,제21류_기능성/혼합음료,2085,68.02,증가
77,US,2209009000,기타,제22류_일반음료,21906,67.14,증가
78,US,2009391000,레몬주스,제20류_과일농축음료,0,66.61,증가
79,US,2104200000,균질화한 혼합 조제 식료품,제21류_기능성/혼합음료,10070,65.81,증가
80,US,2008309000,기타,제20류_과일농축음료,19711,65.74,증가
81,US,2101201000,설탕ㆍ레몬이나 이들의 대용물을 함유한 것,제21류_기능성/혼합음료,53744,64.83,증가
82,US,2101129090,기타,제21류_기능성/혼합음료,6787,64.78,증가
83,US,2104102000,어류로 만든 것,제21류_기능성/혼합음료,109936,64.41,증가
84,US,2009892000,채소 주스,제20류_과일농축음료,25332,63.61,증가
85,US,0402101090,기타,제04류_우유류,0,63.26,증가
86,US,2101301000,보리의 것,제21류_기능성/혼합음료,50538,63.23,증가
87,US,2009690000,기타,제20류_과일농축음료,0,62.56,증가
88,US,2102204090,기타,제21류_기능성/혼합음료,7683,61.4,증가
89,US,2106909080,"음료 제조용 조제품[방향성(芳香性) 물질을 기본 재료로 한 것은 제외하며, 알코올 용량이 전 용량의 100분의 0.5를 초과하는 것으로 한정한다]",제21류_기능성/혼합음료,0,61.4,증가
90,US,2103202000,그 밖의 토마토 소스,제21류_기능성/혼합음료,0,61.2,증가
91,US,2009399000,기타,제20류_과일농축음료,0,60.77,증가
92,US,2206002090,기타,제22류_일반음료,83691,60.38,증가
93,US,2105001090,기타,제21류_기능성/혼합음료,1213638,59.04,증가
94,US,2005592000,팥,제20류_과일농축음료,11429,58.98,증가
95,US,0406101090,기타,제04류_우유류,0,58.24,증가
96,US,2009901090,기타,제20류_과일농축음료,5681,56.23,증가
97,US,2009891010,복숭아주스,제20류_과일농축음료,0,55.49,증가
98,US,2008701000,설탕을 첨가하여 밀폐용기에 넣은 것,제20류_과일농축음료,4363,55.29,증가
99,US,0403209000,기타,제04류_우유류,7911,54.49,증가
100,US,2106909050,향미(香味)용 조제품,제21류_기능성/혼합음료,276481,54.47,증가
101,US,2009190000,기타,제20류_과일농축음료,0,54.09,증가
102,US,2008301000,유자,제20류_과일농축음료,1476389,53.97,증가
103,US,2009901020,사과주스를 주요 재료로 만든 것,제20류_과일농축음료,805,53.74,증가
104,US,2204219000,기타,제22류_일반음료,1327,53.61,증가
105,US,2005209000,기타,제20류_과일농축음료,337992,52.94,증가
106,US,2009909000,기타,제20류_과일농축음료,33745,52.43,증가
107,US,2101309000,기타,제21류_기능성/혼합음료,143013,52.26,증가
108,US,2106901020,과일향의 음료베이스,제21류_기능성/혼합음료,64151,51.55,증가
109,US,2008992000,사과,제20류_과일농축음료,531,50.01,증가
110,US,2208904000,소주,제22류_일반음료,2568468,49.9,증가
111,US,2005800000,스위트콘[자메이스 변종 사카라타(Zea mays var. saccharata)],제20류_과일농축음료,0,49.16,증가
112,US,2206001010,사과술,제22류_일반음료,141828,48.59,증가
113,US,2008800000,초본류 딸기,제20류_과일농축음료,1352,48.37,증가
114,US,2008119000,기타,제20류_과일농축음료,8397,47.98,증가
115,US,2102203090,기타,제21류_기능성/혼합음료,126145,46.95,증가
116,US,2006006010,꼬투리를 벗긴 콩,제20류_과일농축음료,0,46.81,증가
117,US,2009290000,기타,제20류_과일농축음료,0,46.26,증가
118,US,2106901090,기타,제21류_기능성/혼합음료,339219,46.17,증가
119,US,2003901000,표고버섯,제20류_과일농축음료,2160,45.97,증가
120,US,2102101000,양조효모,제21류_기능성/혼합음료,0,45.71,증가
121,US,0402999000,기타,제04류_우유류,1073042,45.36,증가
122,US,2004100000,감자,제20류_과일농축음료,11698,44.62,증가
123,US,2008993000,팝콘,제20류_과일농축음료,1735,42.2,증가
124,US,2008995010,김,제20류_과일농축음료,19975251,42.05,증가
125,US,2102201000,불활성 효모,제21류_기능성/혼합음료,0,41.83,증가
126,US,2208709000,기타,제22류_일반음료,2572070,39.65,감소
127,US,2101209011,티백 포장의 것,제21류_기능성/혼합음료,95561,39.23,감소
128,US,2201909000,기타,제22류_일반음료,9646,37.72,감소
129,US,2206009090,기타,제22류_일반음료,5324,37.19,감소
130,US,2003909000,기타,제20류_과일농축음료,0,37.14,감소
131,US,2208909000,기타,제22류_일반음료,136200,37.1,감소
132,US,2006006090,기타,제20류_과일농축음료,240,36.58,감소
133,US,2005101000,유아용 퓨레콘(pureed corn),제20류_과일농축음료,0,35.85,감소
134,US,2206002010,청주,제22류_일반음료,12144,35.13,감소
135,US,2102203010,태블릿(tablet) 모양의 것,제21류_기능성/혼합음료,68896,34.69,감소
136,US,2102104000,배양효모,제21류_기능성/혼합음료,0,34.07,감소
137,US,2106901010,콜라 베이스,제21류_기능성/혼합음료,0,33.6,감소
138,US,2005109000,기타,제20류_과일농축음료,0,33.5,감소
139,US,2101121000,인스턴트 커피의 조제품,제21류_기능성/혼합음료,385869,33.15,감소
140,US,2009610000,브릭스(Brix) 값이 30 이하인 것,제20류_과일농축음료,0,32.66,감소
141,US,2102109000,기타,제21류_기능성/혼합음료,0,31.0,감소
142,US,2008192000,코코넛,제20류_과일농축음료,0,31.0,감소
143,US,0409000000,천연꿀,제04류_우유류,7171,30.93,감소
144,US,2009891020,딸기주스,제20류_과일농축음료,0,29.79,감소
145,US,2001901000,과실과 견과류,제20류_과일농축음료,0,29.25,감소
146,US,0402109000,기타,제04류_우유류,0,28.56,감소
147,US,0401200000,지방분이 전 중량의 100분의 1 초과 100분의 6 이하인 것,제04류_우유류,0,28.11,감소
148,US,2106109030,텍스처화한(textured) 단백질계 물질,제21류_기능성/혼합음료,627763,26.91,감소
149,US,2006003000,생강,제20류_과일농축음료,32376,26.43,감소
150,US,2104109000,기타,제21류_기능성/혼합음료,784854,26.34,감소
151,US,2008991000,포도,제20류_과일농축음료,0,26.24,감소
152,US,2202910000,알코올을 함유하지 않은 맥주,제22류_일반음료,0,26.15,감소
153,US,0405900000,기타,제04류_우유류,0,26.02,감소
154,US,0406101010,모차렐라 치즈(Mozzarella cheese),제04류_우유류,0,26.02,감소
155,US,2204212000,흰 포도주,제22류_일반음료,0,26.02,감소
156,US,0406902000,하우다 치즈(Gouda cheese),제04류_우유류,0,26.02,감소
157,US,2201901000,얼음과 눈,제22류_일반음료,20960,25.06,감소
158,US,2105001010,코코아를 함유하지 않은 것,제21류_기능성/혼합음료,13973,23.6,감소
159,US,2005992000,사우어크라우트(sauerkraut),제20류_과일농축음료,0,23.42,감소
160,US,2007999000,기타,제20류_과일농축음료,57287,23.07,감소
161,US,2206002020,약주,제22류_일반음료,59783,22.68,감소
162,US,2207109090,기타,제22류_일반음료,0,22.59,감소
163,US,2106909070,알로에를 기본 재료로 한 조제품,제21류_기능성/혼합음료,65242,22.08,감소
164,US,2103909010,마요네스,제21류_기능성/혼합음료,69130,21.87,감소
165,US,2008400000,배,제20류_과일농축음료,3755,21.18,감소
166,US,2106101000,두부,제21류_기능성/혼합음료,394890,20.97,감소
167,US,2008994000,소금에 절인 초피,제20류_과일농축음료,0,20.74,감소
168,US,2207200000,변성 에틸알코올과 그 밖의 변성 주정(알코올의 용량은 상관없다),제22류_일반음료,0,19.96,감소
169,US,0408999000,기타,제04류_우유류,19536,18.45,감소
170,US,2009120000,냉동하지 않은 것으로서 브릭스(Brix) 값이 20 이하인 것,제20류_과일농축음료,41,18.01,감소
171,US,2007100000,균질화한 조제품,제20류_과일농축음료,0,17.97,감소
172,US,2102103000,제빵효모,제21류_기능성/혼합음료,388,16.74,감소
173,US,2102300000,조제한 베이킹 파우더,제21류_기능성/혼합음료,12807,14.96,감소
174,US,0408991000,닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]의 것,제04류_우유류,12077,14.79,감소
175,US,2106909021,버터 함량이 전 중량의 100분의 30 이하인 것,제21류_기능성/혼합음료,181,13.45,감소
176,US,2101111000,인스턴트 커피,제21류_기능성/혼합음료,1042447,13.06,감소
177,US,2008111000,피넛 버터,제20류_과일농축음료,362,12.43,감소
178,US,2007919000,기타,제20류_과일농축음료,0,10.04,감소
179,US,2105009010,코코아를 함유하지 않은 것,제21류_기능성/혼합음료,22919,10.0,감소
180,US,2101209090,기타,제21류_기능성/혼합음료,968464,9.21,감소
181,US,2008709000,기타,제20류_과일농축음료,2069,8.81,감소
182,US,2007911000,잼ㆍ과실젤리와 마멀레이드(marmalade),제20류_과일농축음료,9696,8.6,감소
183,US,2009311000,레몬주스,제20류_과일농축음료,0,4.49,감소
184,US,0404901000,지방분이 전 중량의 100분의 1.5 이하인 것,제04류_우유류,2370,3.47,감소
185,US,2001909040,스위트콘,제20류_과일농축음료,2509,2.98,감소
186,US,2009901010,오렌지주스를 주요 재료로 만든 것,제20류_과일농축음료,2188,2.96,감소
187,US,2006009030,그 밖의 채소,제20류_과일농축음료,35200,2.87,감소
188,US,2008971010,설탕을 첨가한 밀폐용기에 넣은 것,제20류_과일농축음료,0,2.83,감소
189,US,2004901000,스위트콘,제20류_과일농축음료,0,2.4,감소
190,US,0407210000,닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다]의 것,제04류_우유류,90470,2.23,감소
191,US,2208309000,기타,제22류_일반음료,0,1.98,감소
192,US,2005591000,녹두,제20류_과일농축음료,0,1.66,감소
193,US,2204299000,기타,제22류_일반음료,0,1.26,감소
194,US,2106909023,버터 함량이 전 중량의 100분의 70을 초과하는 것,제21류_기능성/혼합음료,0,1.17,감소
195,US,0404102990,기타,제04류_우유류,0,0.99,감소
196,US,0404101019,기타,제04류_우유류,0,0.95,감소
197,US,2208209000,기타,제22류_일반음료,0,0.89,감소
198,US,2208500000,진(gin)과 제네바(geneva),제22류_일반음료,0,0.88,감소
199,US,0404101011,사료용,제04류_우유류,0,0.87,감소
200,US,0402919000,기타,제04류_우유류,0,0.79,감소
201,US,2102102000,증류효모,제21류_기능성/혼합음료,0,0.75,감소
202,US,0402211000,전지분유,제04류_우유류,0,0.72,감소
203,US,0401509000,기타,제04류_우유류,0,0.46,감소
204,US,0402219000,기타,제04류_우유류,0,0.46,감소
205,US,0401401000,냉동크림,제04류_우유류,0,0.46,감소
206,US,2208302000,버본 위스키,제22류_일반음료,0,0.46,감소
207,US,2008930000,"크랜베리(cranberry)[바치니움 매크로카르폰(Vaccinium macrocarpon)ㆍ바치니움 옥시코코스(Vaccinium oxycoccos), 링곤베리(lingonberry)[바치니움 비티스-이다에아(Vaccinium vitis-idaea)]",제20류_과일농축음료,0,0.46,감소
208,US,0406901000,체더 치즈(Cheddar cheese),제04류_우유류,0,0.46,감소
209,US,2106909022,버터 함량이 전 중량의 100분의 30 초과 100분의 70 이하인 것,제21류_기능성/혼합음료,0,0.46,감소
210,US,2208303000,라이(rye) 위스키,제22류_일반음료,0,0.46,감소
211,US,2208400000,럼(rum)과 발효된 사탕수수제품을 증류하여 얻은 그 밖의 증류주,제22류_일반음료,0,0.46,감소
212,US,2005201000,플레이크로 만든 감자크로켓,제20류_과일농축음료,0,0.46,감소
213,US,2005700000,올리브,제20류_과일농축음료,0,0.46,감소
214,US,2006008000,올리브,제20류_과일농축음료,0,0.46,감소
215,US,2005600000,아스파라거스(asparagus),제20류_과일농축음료,0,0.46,감소
216,US,2009891030,코코넛 주스(코코넛 워터를 포함한다),제20류_과일농축음료,0,0.46,감소
217,US,2009210000,브릭스(Brix) 값이 20 이하인 것,제20류_과일농축음료,0,0.46,감소
218,US,0406102000,커드(curd),제04류_우유류,0,0.46,감소
219,US,2009110000,냉동한 것,제20류_과일농축음료,0,0.46,감소
220,US,2008500000,살구,제20류_과일농축음료,0,0.46,감소
221,US,2208201000,꼬냑,제22류_일반음료,0,0.46,감소
222,US,2008600000,체리,제20류_과일농축음료,0,0.46,감소
223,US,2008971090,기타,제20류_과일농축음료,0,0.46,감소
224,US,2204291000,붉은 포도주,제22류_일반음료,0,0.46,감소
225,US,2204221000,붉은 포도주,제22류_일반음료,0,0.46,감소
226,US,2204222000,흰 포도주,제22류_일반음료,0,0.46,감소
227,US,0405100000,버터,제04류_우유류,0,0.46,감소
228,US,0404102139,기타,제04류_우유류,0,0.46,감소
229,US,0404102131,사료용,제04류_우유류,0,0.46,감소
230,US,2204100000,발포성(發泡性) 포도주,제22류_일반음료,0,0.46,감소
231,US,2204211000,붉은 포도주,제22류_일반음료,0,0.46,감소
232,US,2206009010,"와인쿨러(제2009호나 제2202호의 물품을 첨가한 것으로 한정하며, 포도를 원료로 한 것을 포함한다)",제22류_일반음료,0,0.46,감소
233,US,0404102191,사료용,제04류_우유류,0,0.46,감소
234,US,0404101099,기타,제04류_우유류,0,0.46,감소
235,US,0402991000,가당연유(加糖煉乳),제04류_우유류,0,0.46,감소
236,US,0404902000,지방분이 전 중량의 100분의 1.5를 초과하는 것,제04류_우유류,0,0.46,감소
237,US,0402101010,탈지(脫脂)분유,제04류_우유류,0,0.46,감소
238,US,2009500000,토마토주스,제20류_과일농축음료,0,0.46,감소
239,US,2009810000,"크랜베리(cranberry)[바치니움 매크로카르폰(Vaccinium macrocarpon)ㆍ바치니움 옥시코코스(Vaccinium oxycoccos)] 주스, 링곤베리(lingonberry)[바치니움 비티스-이다에아(Vaccinium vitis-idaea)] 주스",제20류_과일농축음료,0,0.46,감소
240,US,2208600000,보드카,제22류_일반음료,0,0.46,감소
241,US,2208907000,데낄라,제22류_일반음료,0,0.46,감소
242,US,0401100000,지방분이 전 중량의 100분의 1 이하인 것,제04류_우유류,0,0.46,감소
243,US,2002901000,토마토 페이스트(paste)(브릭스(brix) 값이 100분의 24 이상인 것으로 한정한다),제20류_과일농축음료,0,0.46,감소
244,US,2002100000,토마토의 전체나 조각,제20류_과일농축음료,0,0.46,감소
245,US,0408190000,기타,제04류_우유류,0,0.46,감소
246,US,2002909000,기타,제20류_과일농축음료,0,0.46,감소
247,US,0406200000,갈았거나 가루 모양으로 한 모든 종류의 치즈,제04류_우유류,0,0.46,감소
248,US,0407290000,기타,제04류_우유류,0,0.46,감소
249,US,0406400000,블루바인 치즈(blue-veined cheese)와 페니실리움 로우크포티(Penicillium roqueforti)로 생산된 바인(vein)을 함유한 그 밖의 치즈,제04류_우유류,0,0.46,감소
250,US,0408110000,건조한 것,제04류_우유류,0,0.46,감소
251,US,0406101020,크림 치즈,제04류_우유류,0,0.46,감소
252,US,2009490000,기타,제20류_과일농축음료,0,0.45,감소
253,US,2208901000,브랜디류(소호 제2208.20호의 것은 제외한다),제22류_일반음료,0,0.45,감소
254,US,0405200000,데어리 스프레드(dairy spread),제04류_우유류,0,0.45,감소
255,US,2009312000,라임주스,제20류_과일농축음료,0,0.45,감소
256,US,2008200000,파인애플,제20류_과일농축음료,0,0.44,감소
257,US,0404102199,기타,제04류_우유류,0,0.44,감소
258,US,0403901000,버터밀크,제04류_우유류,0,0.44,감소
259,US,0404102119,기타,제04류_우유류,0,0.44,감소
260,US,2204229000,기타,제22류_일반음료,0,0.44,감소
261,US,2204292000,흰 포도주,제22류_일반음료,0,0.44,감소
262,US,2205100000,2리터 이하의 용기에 넣은 것,제22류_일반음료,0,0.44,감소
263,US,2205900000,기타,제22류_일반음료,0,0.44,감소
264,US,0401409000,기타,제04류_우유류,0,0.44,감소
265,US,0402290000,기타,제04류_우유류,0,0.44,감소
266,US,2006002000,파인애플,제20류_과일농축음료,0,0.44,감소
267,US,2009392000,라임주스,제20류_과일농축음료,0,0.44,감소
268,US,0408910000,건조한 것,제04류_우유류,0,0.44,감소
269,US,2001909070,양파,제20류_과일농축음료,0,0.44,감소
270,US,0410902000,로열젤리,제04류_우유류,0,0.44,감소
271,US,2003903000,송로(松露),제20류_과일농축음료,0,0.43,감소
