순위,국가명,HS코드,품목명,카테고리,2025년수출액($),2026성공확률(%),2026성공예측
131,VN,0406300000,가공치즈(갈았거나 가루 모양의 것은 제외한다),제04류_우유류,495892,21.03,감소
132,VN,2104103000,채소로 만든 것,제21류_기능성/혼합음료,26198,20.96,감소
133,VN,2103909020,인스턴트 카레,제21류_기능성/혼합음료,26678,20.93,감소
134,VN,2106909040,자기소화효모(autolyzed yeast)와 그 밖의 효모 추출물(extract),제21류_기능성/혼합음료,36075,20.27,감소
135,VN,2008193000,볶은 참깨가루,제20류_과일농축음료,9499,19.24,감소
136,VN,2206001090,기타,제22류_일반음료,29916,19.2,감소
137,VN,2004909000,기타,제20류_과일농축음료,0,18.93,감소
138,VN,2008192000,코코넛,제20류_과일농축음료,0,18.61,감소
139,VN,2005910000,죽순,제20류_과일농축음료,0,18.52,감소
140,VN,2003909000,기타,제20류_과일농축음료,0,18.3,감소
141,VN,2203000000,맥주,제22류_일반음료,0,18.28,감소
142,VN,2208709000,기타,제22류_일반음료,214991,18.26,감소
143,VN,2106902000,당시럽[향미제(香味劑)나 착색제를 첨가한 것으로 한정한다],제21류_기능성/혼합음료,38293,17.88,감소
144,VN,2007911000,잼ㆍ과실젤리와 마멀레이드(marmalade),제20류_과일농축음료,0,17.63,감소
145,VN,2103301000,겨자의 고운 가루ㆍ거친 가루,제21류_기능성/혼합음료,3254,16.76,감소
146,VN,2103901090,기타,제21류_기능성/혼합음료,152327,16.02,감소
147,VN,2007919000,기타,제20류_과일농축음료,1385,15.88,감소
148,VN,2008971010,설탕을 첨가한 밀폐용기에 넣은 것,제20류_과일농축음료,0,14.63,감소
149,VN,2104200000,균질화한 혼합 조제 식료품,제21류_기능성/혼합음료,19201,14.06,감소
150,VN,2106909091,"로열젤리, 벌꿀조제품의 것",제21류_기능성/혼합음료,93870,13.7,감소
151,VN,2009190000,기타,제20류_과일농축음료,0,13.08,감소
152,VN,2209009000,기타,제22류_일반음료,421402,11.6,감소
153,VN,2007991000,잼ㆍ과실젤리와 마멀레이드(marmalade),제20류_과일농축음료,16537,9.95,감소
154,VN,2009391000,레몬주스,제20류_과일농축음료,0,6.83,감소
155,VN,2106909070,알로에를 기본 재료로 한 조제품,제21류_기능성/혼합음료,0,4.63,감소
156,VN,2204299000,기타,제22류_일반음료,0,3.19,감소
157,VN,2208400000,럼(rum)과 발효된 사탕수수제품을 증류하여 얻은 그 밖의 증류주,제22류_일반음료,0,3.17,감소
158,VN,2009901010,오렌지주스를 주요 재료로 만든 것,제20류_과일농축음료,0,3.05,감소
159,VN,2004100000,감자,제20류_과일농축음료,0,3.05,감소
160,VN,2208309000,기타,제22류_일반음료,0,2.85,감소
161,VN,2008930000,"크랜베리(cranberry)[바치니움 매크로카르폰(Vaccinium macrocarpon)ㆍ바치니움 옥시코코스(Vaccinium oxycoccos), 링곤베리(lingonberry)[바치니움 비티스-이다에아(Vaccinium vitis-idaea)]",제20류_과일농축음료,0,2.73,감소
162,VN,2009210000,브릭스(Brix) 값이 20 이하인 것,제20류_과일농축음료,0,2.61,감소
163,VN,0405100000,버터,제04류_우유류,0,2.53,감소
164,VN,2204219000,기타,제22류_일반음료,0,2.04,감소
165,VN,0402991000,가당연유(加糖煉乳),제04류_우유류,0,1.04,감소
166,VN,2001909070,양파,제20류_과일농축음료,0,1.04,감소
167,VN,2009410000,브릭스(Brix) 값이 20 이하인 것,제20류_과일농축음료,0,1.04,감소
168,VN,2005400000,완두[피섬 새티범(Pisum sativum)],제20류_과일농축음료,0,1.04,감소
169,VN,2208500000,진(gin)과 제네바(geneva),제22류_일반음료,0,1.04,감소
170,VN,2102103000,제빵효모,제21류_기능성/혼합음료,0,1.04,감소
171,VN,2208600000,보드카,제22류_일반음료,0,1.04,감소
172,VN,2009891030,코코넛 주스(코코넛 워터를 포함한다),제20류_과일농축음료,0,1.04,감소
173,VN,0410902000,로열젤리,제04류_우유류,0,1.01,감소
174,VN,0410901000,칼새둥지,제04류_우유류,0,1.01,감소
175,VN,2001909020,토마토,제20류_과일농축음료,0,1.01,감소
176,VN,2004901000,스위트콘,제20류_과일농축음료,0,1.01,감소
177,VN,2009392000,라임주스,제20류_과일농축음료,0,1.01,감소
178,VN,2009490000,기타,제20류_과일농축음료,0,1.01,감소
179,VN,2009312000,라임주스,제20류_과일농축음료,0,1.01,감소
180,VN,2008500000,살구,제20류_과일농축음료,0,1.01,감소
181,VN,2005109000,기타,제20류_과일농축음료,0,0.99,감소
182,VN,2006009020,죽순,제20류_과일농축음료,0,0.99,감소
183,VN,2009290000,기타,제20류_과일농축음료,0,0.98,감소
184,VN,2001901000,과실과 견과류,제20류_과일농축음료,0,0.97,감소
