순위,국가명,HS코드,품목명,카테고리,2025년수출액($),2026성공확률(%),2026성공예측
25,JP,2106903011,인삼차,제21류_기능성/혼합음료,3345,77.33,증가
26,JP,2008309000,기타,제20류_과일농축음료,14485,77.22,증가
27,JP,2106909099,기타,제21류_기능성/혼합음료,5677869,77.05,증가
28,JP,0402999000,기타,제04류_우유류,0,77.02,증가
29,JP,2208904000,소주,제22류_일반음료,1908389,76.85,증가
30,JP,2201909000,기타,제22류_일반음료,0,73.11,증가
31,JP,2008999000,기타,제20류_과일농축음료,69506,72.82,증가
32,JP,2101129090,기타,제21류_기능성/혼합음료,0,72.6,증가
33,JP,0402101090,기타,제04류_우유류,702,72.28,증가
34,JP,2106909040,자기소화효모(autolyzed yeast)와 그 밖의 효모 추출물(extract),제21류_기능성/혼합음료,0,72.16,증가
35,JP,0401409000,기타,제04류_우유류,0,71.6,증가
36,JP,2005209000,기타,제20류_과일농축음료,3562,71.57,증가
37,JP,2104103000,채소로 만든 것,제21류_기능성/혼합음료,1193,71.25,증가
38,JP,2209009000,기타,제22류_일반음료,0,70.87,증가
39,JP,2206001090,기타,제22류_일반음료,0,69.59,증가
40,JP,2106903019,기타,제21류_기능성/혼합음료,8851,69.47,증가
41,JP,2007999000,기타,제20류_과일농축음료,4,69.3,증가
42,JP,0406101020,크림 치즈,제04류_우유류,370,68.99,증가
43,JP,2208600000,보드카,제22류_일반음료,13,68.5,증가
44,JP,2008301000,유자,제20류_과일농축음료,517820,67.96,증가
45,JP,2208709000,기타,제22류_일반음료,647202,65.11,증가
46,JP,0402101010,탈지(脫脂)분유,제04류_우유류,1,64.95,증가
47,JP,2103100000,간장,제21류_기능성/혼합음료,11183,64.69,증가
48,JP,0409000000,천연꿀,제04류_우유류,0,63.56,증가
49,JP,2009909000,기타,제20류_과일농축음료,0,63.4,증가
50,JP,2202992000,과실주스 음료,제22류_일반음료,153528,63.19,증가
51,JP,2009891090,기타,제20류_과일농축음료,465,62.06,증가
52,JP,2008709000,기타,제20류_과일농축음료,0,61.9,증가
53,JP,2106903021,홍삼차,제21류_기능성/혼합음료,160570,61.83,증가
54,JP,0406909000,기타,제04류_우유류,0,61.58,증가
55,JP,2101119000,기타,제21류_기능성/혼합음료,0,61.08,증가
56,JP,0403209000,기타,제04류_우유류,2104,60.32,증가
57,JP,2208500000,진(gin)과 제네바(geneva),제22류_일반음료,2081,58.91,증가
58,JP,2008992000,사과,제20류_과일농축음료,0,58.83,증가
59,JP,2009892000,채소 주스,제20류_과일농축음료,0,58.07,증가
60,JP,0403909000,기타,제04류_우유류,0,57.39,증가
61,JP,2207109090,기타,제22류_일반음료,1181659,57.14,증가
62,JP,2103901020,춘장,제21류_기능성/혼합음료,4842,56.82,증가
63,JP,2005994000,고려엉겅퀴(곤드레),제20류_과일농축음료,1770,56.7,증가
64,JP,2106909080,"음료 제조용 조제품[방향성(芳香性) 물질을 기본 재료로 한 것은 제외하며, 알코올 용량이 전 용량의 100분의 0.5를 초과하는 것으로 한정한다]",제21류_기능성/혼합음료,0,56.24,증가
65,JP,2008994000,소금에 절인 초피,제20류_과일농축음료,224850,55.73,증가
66,JP,2103302000,조제한 겨자,제21류_기능성/혼합음료,0,55.36,증가
67,JP,2208302000,버본 위스키,제22류_일반음료,0,55.0,증가
68,JP,2103901010,된장,제21류_기능성/혼합음료,21093,53.93,증가
69,JP,2001100000,오이류,제20류_과일농축음료,0,53.55,증가
70,JP,2101309000,기타,제21류_기능성/혼합음료,146413,53.07,증가
71,JP,2201100000,광천수와 탄산수,제22류_일반음료,54193,52.73,증가
72,JP,2008119000,기타,제20류_과일농축음료,154,52.7,증가
73,JP,2106909091,"로열젤리, 벌꿀조제품의 것",제21류_기능성/혼합음료,19,52.68,증가
74,JP,2105009090,기타,제21류_기능성/혼합음료,0,51.88,증가
75,JP,2206002090,기타,제22류_일반음료,2063503,51.26,증가
76,JP,2009319000,기타,제20류_과일농축음료,0,50.8,증가
77,JP,2202109000,기타,제22류_일반음료,158518,50.66,증가
78,JP,2005800000,스위트콘[자메이스 변종 사카라타(Zea mays var. saccharata)],제20류_과일농축음료,0,50.55,증가
79,JP,2102101000,양조효모,제21류_기능성/혼합음료,0,49.46,증가
80,JP,2007991000,잼ㆍ과실젤리와 마멀레이드(marmalade),제20류_과일농축음료,0,49.23,증가
81,JP,2106901020,과일향의 음료베이스,제21류_기능성/혼합음료,732740,49.07,증가
82,JP,2004909000,기타,제20류_과일농축음료,134162,48.29,증가
83,JP,0401100000,지방분이 전 중량의 100분의 1 이하인 것,제04류_우유류,561,48.24,증가
84,JP,2105001010,코코아를 함유하지 않은 것,제21류_기능성/혼합음료,176509,47.88,증가
85,JP,2102203090,기타,제21류_기능성/혼합음료,29334,47.84,증가
86,JP,2008199000,기타,제20류_과일농축음료,269587,47.63,증가
87,JP,2208701000,인삼주,제22류_일반음료,3561,47.08,증가
88,JP,0404901000,지방분이 전 중량의 100분의 1.5 이하인 것,제04류_우유류,0,45.85,증가
89,JP,2101301000,보리의 것,제21류_기능성/혼합음료,76,45.57,증가
90,JP,0406101090,기타,제04류_우유류,0,45.5,증가
91,JP,2206009090,기타,제22류_일반음료,0,45.39,증가
92,JP,2105009010,코코아를 함유하지 않은 것,제21류_기능성/혼합음료,94517,44.71,증가
93,JP,2202999000,기타,제22류_일반음료,581248,44.5,증가
94,JP,2106109030,텍스처화한(textured) 단백질계 물질,제21류_기능성/혼합음료,1235,43.31,증가
95,JP,0402211000,전지분유,제04류_우유류,0,43.21,증가
96,JP,2208400000,럼(rum)과 발효된 사탕수수제품을 증류하여 얻은 그 밖의 증류주,제22류_일반음료,0,43.21,증가
97,JP,2009311000,레몬주스,제20류_과일농축음료,11587,41.22,증가
98,JP,2102104000,배양효모,제21류_기능성/혼합음료,938,38.53,증가
99,JP,2103201000,토마토 케첩,제21류_기능성/혼합음료,0,37.12,감소
100,JP,2005599000,기타,제20류_과일농축음료,0,36.48,감소
101,JP,2008995010,김,제20류_과일농축음료,7334353,36.39,감소
102,JP,2105001090,기타,제21류_기능성/혼합음료,362769,35.78,감소
103,JP,2106109020,단백질 농축물,제21류_기능성/혼합음료,0,34.99,감소
104,JP,2104102000,어류로 만든 것,제21류_기능성/혼합음료,2988,34.57,감소
105,JP,2008979000,기타,제20류_과일농축음료,0,34.48,감소
106,JP,2009190000,기타,제20류_과일농축음료,0,34.46,감소
107,JP,2104200000,균질화한 혼합 조제 식료품,제21류_기능성/혼합음료,0,34.08,감소
108,JP,2009710000,브릭스(Brix) 값이 20 이하인 것,제20류_과일농축음료,0,33.94,감소
109,JP,2206002010,청주,제22류_일반음료,0,33.57,감소
110,JP,2101121000,인스턴트 커피의 조제품,제21류_기능성/혼합음료,547074,33.32,감소
111,JP,0401509000,기타,제04류_우유류,0,32.59,감소
112,JP,2203000000,맥주,제22류_일반음료,605031,32.5,감소
113,JP,2009790000,기타,제20류_과일농축음료,600,32.05,감소
114,JP,2005592000,팥,제20류_과일농축음료,0,31.97,감소
115,JP,2005991000,김치,제20류_과일농축음료,4442806,31.75,감소
116,JP,2106909050,향미(香味)용 조제품,제21류_기능성/혼합음료,4104,31.47,감소
117,JP,2103909010,마요네스,제21류_기능성/혼합음료,21840,31.19,감소
118,JP,2106101000,두부,제21류_기능성/혼합음료,0,29.51,감소
119,JP,2202991000,인삼음료,제22류_일반음료,1347714,29.3,감소
120,JP,2009901090,기타,제20류_과일농축음료,0,29.01,감소
121,JP,2106909060,도토리 가루,제21류_기능성/혼합음료,11814,25.5,감소
122,JP,2102209000,기타,제21류_기능성/혼합음료,51026,25.41,감소
123,JP,2103301000,겨자의 고운 가루ㆍ거친 가루,제21류_기능성/혼합음료,62513,25.03,감소
124,JP,2102204090,기타,제21류_기능성/혼합음료,28805,25.03,감소
125,JP,2101209011,티백 포장의 것,제21류_기능성/혼합음료,7430,24.87,감소
126,JP,2001909090,기타,제20류_과일농축음료,3015,24.72,감소
127,JP,2206002030,탁주,제22류_일반음료,691923,24.55,감소
128,JP,2009902000,채소로 만든 것,제20류_과일농축음료,0,23.8,감소
129,JP,2106903029,기타,제21류_기능성/혼합음료,242440,23.48,감소
130,JP,2009391000,레몬주스,제20류_과일농축음료,0,22.5,감소
131,JP,2207200000,변성 에틸알코올과 그 밖의 변성 주정(알코올의 용량은 상관없다),제22류_일반음료,495,22.16,감소
132,JP,2204100000,발포성(發泡性) 포도주,제22류_일반음료,0,21.88,감소
133,JP,2003909000,기타,제20류_과일농축음료,0,21.54,감소
134,JP,2204212000,흰 포도주,제22류_일반음료,0,21.54,감소
135,JP,2007919000,기타,제20류_과일농축음료,12480,20.96,감소
136,JP,2103901030,고추장,제21류_기능성/혼합음료,569809,20.55,감소
137,JP,2005512000,팥,제20류_과일농축음료,6805,19.88,감소
138,JP,2103909030,혼합조미료,제21류_기능성/혼합음료,624381,18.95,감소
139,JP,2005999000,기타,제20류_과일농축음료,65301,18.13,감소
140,JP,2101201000,설탕ㆍ레몬이나 이들의 대용물을 함유한 것,제21류_기능성/혼합음료,740598,17.01,감소
141,JP,2102201000,불활성 효모,제21류_기능성/혼합음료,42298,16.25,감소
142,JP,2106909010,커피크리머,제21류_기능성/혼합음료,84502,14.72,감소
143,JP,2004100000,감자,제20류_과일농축음료,0,14.64,감소
144,JP,2007911000,잼ㆍ과실젤리와 마멀레이드(marmalade),제20류_과일농축음료,13618,13.56,감소
145,JP,2202101000,색깔을 입힌 것,제22류_일반음료,145792,13.16,감소
146,JP,2204291000,붉은 포도주,제22류_일반음료,655,13.12,감소
147,JP,2008993000,팝콘,제20류_과일농축음료,10244,11.99,감소
148,JP,2008111000,피넛 버터,제20류_과일농축음료,2449,11.08,감소
149,JP,2103901090,기타,제21류_기능성/혼합음료,99795,11.03,감소
150,JP,2103202000,그 밖의 토마토 소스,제21류_기능성/혼합음료,917,9.4,감소
151,JP,2106909030,아이스크림 제조용 조제품,제21류_기능성/혼합음료,5896,8.47,감소
152,JP,2106901090,기타,제21류_기능성/혼합음료,366930,7.72,감소
153,JP,2103909020,인스턴트 카레,제21류_기능성/혼합음료,1598,7.29,감소
154,JP,2201901000,얼음과 눈,제22류_일반음료,0,6.39,감소
155,JP,0401200000,지방분이 전 중량의 100분의 1 초과 100분의 6 이하인 것,제04류_우유류,0,5.65,감소
156,JP,2009690000,기타,제20류_과일농축음료,0,4.13,감소
157,JP,2006006090,기타,제20류_과일농축음료,0,3.68,감소
158,JP,2005519000,기타,제20류_과일농축음료,0,3.48,감소
159,JP,2102300000,조제한 베이킹 파우더,제21류_기능성/혼합음료,0,3.39,감소
160,JP,2208309000,기타,제22류_일반음료,64297,2.98,감소
161,JP,2204211000,붉은 포도주,제22류_일반음료,0,2.9,감소
162,JP,2009901030,포도주스를 주요 재료로 만든 것,제20류_과일농축음료,0,2.21,감소
163,JP,2009500000,토마토주스,제20류_과일농축음료,0,1.91,감소
164,JP,2008192000,코코넛,제20류_과일농축음료,0,1.84,감소
165,JP,2102204010,태블릿(tablet) 모양의 것,제21류_기능성/혼합음료,0,1.81,감소
166,JP,0408999000,기타,제04류_우유류,0,1.65,감소
167,JP,2008991000,포도,제20류_과일농축음료,0,1.64,감소
168,JP,2006003000,생강,제20류_과일농축음료,0,0.6,감소
169,JP,2008972000,과실 샐러드,제20류_과일농축음료,0,0.56,감소
170,JP,2001909050,염교(rakkyo),제20류_과일농축음료,0,0.56,감소
171,JP,2006009030,그 밖의 채소,제20류_과일농축음료,0,0.54,감소
172,JP,2204229000,기타,제22류_일반음료,0,0.54,감소
173,JP,2008600000,체리,제20류_과일농축음료,0,0.52,감소
174,JP,2008971090,기타,제20류_과일농축음료,0,0.52,감소
175,JP,2008200000,파인애플,제20류_과일농축음료,0,0.52,감소
176,JP,2006009020,죽순,제20류_과일농축음료,0,0.52,감소
177,JP,2002909000,기타,제20류_과일농축음료,0,0.52,감소
178,JP,2005400000,완두[피섬 새티범(Pisum sativum)],제20류_과일농축음료,0,0.52,감소
179,JP,2007100000,균질화한 조제품,제20류_과일농축음료,0,0.52,감소
180,JP,2001901000,과실과 견과류,제20류_과일농축음료,0,0.52,감소
181,JP,0406200000,갈았거나 가루 모양으로 한 모든 종류의 치즈,제04류_우유류,0,0.52,감소
182,JP,0405900000,기타,제04류_우유류,0,0.52,감소
183,JP,0405100000,버터,제04류_우유류,0,0.52,감소
184,JP,2005201000,플레이크로 만든 감자크로켓,제20류_과일농축음료,0,0.52,감소
185,JP,2005910000,죽순,제20류_과일농축음료,0,0.52,감소
186,JP,0402991000,가당연유(加糖煉乳),제04류_우유류,0,0.52,감소
187,JP,0404102990,기타,제04류_우유류,0,0.52,감소
188,JP,2102103000,제빵효모,제21류_기능성/혼합음료,0,0.52,감소
189,JP,2102202000,누룩,제21류_기능성/혼합음료,0,0.52,감소
190,JP,2102109000,기타,제21류_기능성/혼합음료,0,0.52,감소
191,JP,2102102000,증류효모,제21류_기능성/혼합음료,0,0.52,감소
192,JP,2009901010,오렌지주스를 주요 재료로 만든 것,제20류_과일농축음료,0,0.52,감소
193,JP,2009290000,기타,제20류_과일농축음료,0,0.52,감소
194,JP,2106901010,콜라 베이스,제21류_기능성/혼합음료,0,0.52,감소
195,JP,2206001010,사과술,제22류_일반음료,0,0.52,감소
196,JP,2208201000,꼬냑,제22류_일반음료,0,0.52,감소
197,JP,2204219000,기타,제22류_일반음료,0,0.52,감소
198,JP,2204299000,기타,제22류_일반음료,0,0.52,감소
199,JP,2208209000,기타,제22류_일반음료,0,0.52,감소
200,JP,2208301000,스카치 위스키,제22류_일반음료,0,0.52,감소
201,JP,2208901000,브랜디류(소호 제2208.20호의 것은 제외한다),제22류_일반음료,0,0.52,감소
202,JP,2208906000,고량주,제22류_일반음료,0,0.52,감소
203,JP,2208907000,데낄라,제22류_일반음료,0,0.52,감소
